"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Download Invoice after purchase order","","0","0","6","0","0"
"","Search Products and Verify Cart After Login","","0","0","5","0","0"
"","Place Order: Login before Checkout","","0","0","5","0","0"
"","Register User","","0","0","3","0","1"
"","Logout_User","","0","0","2","0","0"
"","Place Order: Register while Checkout","","0","0","6","0","0"
"","Register_User_with_existing_email","","0","0","1","0","0"
"","Add review on product","","0","0","1","0","0"
"","Login User with Incorrect email and password","","0","0","0","0","1"
"","Verify Product quantity in Cart","","0","0","1","0","0"
"","Verify address details in checkout page","","0","0","6","0","0"
"","Login User with correct email and password","","0","0","1","0","1"
"","Remove Products From Cart","","0","0","2","0","0"
"","Verify Subscription in Cart page","","0","0","0","0","1"
"","Contact Us Form","","0","0","1","0","0"
"","Verify Test Cases Page","","0","0","1","0","0"
"","Search Product ","","0","0","1","0","0"
"","Place Order: Register before Checkout","","0","0","6","0","0"
"","My Login application","","0","0","1","0","0"
"","View & Cart Brand Products","","0","0","1","0","1"
"","View Category Products","","0","0","2","0","0"
"","Verify Scroll Up using Arrow button and Scroll Down functionality","","0","0","1","0","0"
"","Add Products in Cart","","0","0","1","0","0"
"","Verify Scroll Up without Arrow button and Scroll Down functionality","","0","0","1","0","0"
"","Add to cart from Recommended items","","0","0","0","0","1"
"","Verify All Products and product detail page","","0","0","1","0","0"
